kpi$unit$kpi_id$ne_date$ne_hour$ne_id$value
Call Setup Success Rate$%$3561851598725308$2018-10-01$0$MEXTLAMSS1$90.3200
Call Setup Success Rate$%$3561851598725308$2018-10-01$0$MEXTIJMSS1$94.9000
Call Setup Success Rate$%$3561851598725308$2018-10-01$0$MEXMTYMSS1$90.3400
Call Setup Success Rate$%$3561851598725308$2018-10-01$0$MEXMTYMSS2$92.8500
Call Setup Success Rate$%$3561851598725308$2018-10-01$0$MEXGDLMSS1$90.1700
Call Setup Success Rate$%$3561851598725308$2018-10-01$1$MEXTLAMSS1$92.3300
Call Setup Success Rate$%$3561851598725308$2018-10-01$1$MEXMTYMSS1$91.5700
Call Setup Success Rate$%$3561851598725308$2018-10-01$1$MEXTIJMSS1$94.7300
Call Setup Success Rate$%$3561851598725308$2018-10-01$1$MEXMTYMSS2$91.2200
Call Setup Success Rate$%$3561851598725308$2018-10-01$1$MEXGDLMSS1$90.2400
Call Setup Success Rate$%$3561851598725308$2018-10-01$2$MEXMTYMSS2$92.7100
Call Setup Success Rate$%$3561851598725308$2018-10-01$2$MEXMTYMSS1$91.1500
Call Setup Success Rate$%$3561851598725308$2018-10-01$2$MEXGDLMSS1$91.1300
Call Setup Success Rate$%$3561851598725308$2018-10-01$2$MEXTLAMSS1$92.4500
Call Setup Success Rate$%$3561851598725308$2018-10-01$2$MEXTIJMSS1$95.0900
Call Setup Success Rate$%$3561851598725308$2018-10-01$3$MEXMTYMSS2$94.7600
Call Setup Success Rate$%$3561851598725308$2018-10-01$3$MEXMTYMSS1$91.6700
Call Setup Success Rate$%$3561851598725308$2018-10-01$3$MEXTIJMSS1$95.4400
Call Setup Success Rate$%$3561851598725308$2018-10-01$3$MEXGDLMSS1$91.9600
Call Setup Success Rate$%$3561851598725308$2018-10-01$3$MEXTLAMSS1$92.3300
Call Setup Success Rate$%$3561851598725308$2018-10-01$4$MEXGDLMSS1$92.1800
Call Setup Success Rate$%$3561851598725308$2018-10-01$4$MEXMTYMSS2$97.4000
Call Setup Success Rate$%$3561851598725308$2018-10-01$4$MEXTLAMSS1$90.2400
Call Setup Success Rate$%$3561851598725308$2018-10-01$4$MEXTIJMSS1$94.6600
Call Setup Success Rate$%$3561851598725308$2018-10-01$4$MEXMTYMSS1$92.4900
Call Setup Success Rate$%$3561851598725308$2018-10-01$5$MEXMTYMSS2$96.0400
Call Setup Success Rate$%$3561851598725308$2018-10-01$5$MEXTIJMSS1$94.2400
Call Setup Success Rate$%$3561851598725308$2018-10-01$5$MEXTLAMSS1$93.6900
Call Setup Success Rate$%$3561851598725308$2018-10-01$5$MEXGDLMSS1$93.7500
Call Setup Success Rate$%$3561851598725308$2018-10-01$5$MEXMTYMSS1$92.3300
Call Setup Success Rate$%$3561851598725308$2018-10-01$6$MEXMTYMSS2$94.9300
Call Setup Success Rate$%$3561851598725308$2018-10-01$6$MEXTLAMSS1$92.3100
Call Setup Success Rate$%$3561851598725308$2018-10-01$6$MEXGDLMSS1$92.4800
Call Setup Success Rate$%$3561851598725308$2018-10-01$6$MEXTIJMSS1$95.8800
Call Setup Success Rate$%$3561851598725308$2018-10-01$6$MEXMTYMSS1$92.8300
